City,Country,Continent,Longitude,Latitude
GeorgetownG,Guyana,SouthAmerica,-57.757,6.83
Port-au-prince,Haiti,NorthAmerica,-71.821,18.966
Cap Haitien,Haiti,NorthAmerica,-71.658,20.221
San Pedro Sula,Honduras,NorthAmerica,-87.873,15.754
Tegucigalpa,Honduras,NorthAmerica,-86.696,14.101
La Ceiba,Honduras,NorthAmerica,-86.756,16.237
Roatan,Honduras,NorthAmerica,-86.205,16.528
Hong Kong,Hong Kong,Asia,114.524,22.514
Budapest,Hungary,Europe,19.425,47.728
Keflavik,Iceland,Europe,-22.343,64.641
Reykjavik,Iceland,Europe,-21.901,64.216
Delhi,India,Asia,77.171,28.944
Bombay,India,Asia,73.446,19.147
Madras,India,Asia,80.3,13.657
Calcutta,India,Asia,88.744,23.091
Hyderabad,India,Asia,78.779,17.755
Goa,India,Asia,74.385,15.634
Trivandrum,India,Asia,77.533,8.803
Bangalore,India,Asia,78.113,13.583
Tiruchirappalli,India,Asia,79.182,11.275
Calicut,India,Asia,76.592,11.228
Kochi,India,Asia,76.652,10.259
Coimbatore,India,Asia,77.072,11.05
Ahmedabad,India,Asia,73.057,23.128
Gaya,India,Asia,85.585,25.24
Lucknow,India,Asia,81.482,27.267
Jaipur,India,Asia,76.353,27.373
Varanasi,India,Asia,83.432,25.753
Amritsar,India,Asia,75.328,32.182
Baghdogra,India,Asia,88.547,27.135
Guwahati,India,Asia,91.976,26.176
Nagpur,India,Asia,79.078,21.153
Pune,India,Asia,74.532,18.97
Jakarta,Indonesia,Asia,107.093,-5.543
Denpasar,Indonesia,Asia,115.278,-8.581
Surabaya,Indonesia,Asia,113.311,-6.967
Medan,Indonesia,Asia,99.119,3.93
Bandung,Indonesia,Asia,107.96,-6.835
Solo City,Indonesia,Asia,111.261,-7.194
Palembang,Indonesia,Asia,105.166,-2.831
Pekanbaru,Indonesia,Asia,101.74,0.767
Manado,Indonesia,Asia,125.543,1.915
Balikpapan,Indonesia,Asia,117.49,-0.781
Mataram,Indonesia,Asia,116.157,-8.268
Ujung Pandang,Indonesia,Asia,119.923,-4.437
Banda Aceh,Indonesia,Asia,95.7,5.872
Batam,Indonesia,Asia,104.197,1.201
