departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Los Angeles,-118.014,34.57,United States,Taipei,121.388,25.129,Taiwan,7,10892
Los Angeles,-118.014,34.57,United States,Guadalajara,-102.852,20.869,Mexico,7,2127
Los Angeles,-118.014,34.57,United States,Auckland,175.319,-36.347,New Zealand,7,10476
New York,-73.632,41.066,United States,Toronto,-79.385,44.128,Canada,7,580
New York,-73.632,41.066,United States,Montreal,-73.569,45.784,Canada,7,524
New York,-73.632,41.066,United States,Tokyo,140.643,36.274,Japan,7,10732
New York,-73.632,41.066,United States,Paris,2.916,49.021,France,7,5820
Houston,-94.903,30.64,United States,London,-0.103,51.795,United Kingdom,7,7688
Tokyo,140.643,36.274,Japan,San Francisco,-121.959,38.031,United States,7,8181
Guadalajara,-102.852,20.869,Mexico,Los Angeles,-118.014,34.57,United States,7,2127
Frankfurt,8.905,50.044,Germany,Dallas-fort Worth,-96.397,33.494,United States,7,8188
Dallas-fort Worth,-96.397,33.494,United States,Frankfurt,8.905,50.044,Germany,7,8188
Atlanta,-84.047,34.061,United States,London,-0.103,51.795,United Kingdom,7,6714
Kathmandu,85.598,28.16,Nepal,Delhi,77.171,28.944,India,7,827
Delhi,77.171,28.944,India,Kathmandu,85.598,28.16,Nepal,7,827
Nairobi,37.545,-0.866,Kenya,Dar Es Salaam,39.337,-6.797,Tanzania,7,688
Moscow,38.51,55.681,Russia,Berlin,13.479,52.932,Germany,7,1642
Berlin,13.479,52.932,Germany,Moscow,38.51,55.681,Russia,7,1642
Jeddah,39.26,22.132,Saudi Arabia,Dubai,55.607,25.421,United Arab Emirates,7,1701
Dubai,55.607,25.421,United Arab Emirates,Jeddah,39.26,22.132,Saudi Arabia,7,1701
Taipei,121.388,25.129,Taiwan,Singapore,104.657,1.583,Singapore,7,3174
Singapore,104.657,1.583,Singapore,Taipei,121.388,25.129,Taiwan,7,3174
Singapore,104.657,1.583,Singapore,Manila,121.032,14.847,Philippines,7,2325
Manila,121.032,14.847,Philippines,Singapore,104.657,1.583,Singapore,7,2325
Ouagadougou,-1.188,12.588,Burkina Faso,Niamey,2.306,13.802,Niger,7,401
