departure city,arrival city,number of routes,distance
London,Zagreb,5,1330
Kilimanjaro,Addis Ababa,5,1430
Addis Ababa,Kilimanjaro,5,1430
Warsaw,London,5,1480
Sydney,Singapore,5,6265
Sofia,London,5,2015
Singapore,Sydney,5,6265
Singapore,London,5,10875
London,Warsaw,5,1480
London,Sofia,5,2015
London,Singapore,5,10875
London,Kiev,5,2188
London,Istanbul,5,2491
London,Tokyo,5,9504
London,Hong Kong,5,9607
London,Gothenborg,5,1063
London,Moscow,5,2541
London,Bangkok,5,9536
Kiev,London,5,2188
Istanbul,London,5,2491
Tokyo,London,5,9504
Hong Kong,London,5,9607
Gothenborg,London,5,1063
Moscow,London,5,2541
Bangkok,London,5,9536
Nassau,Fort Lauderdale,5,274
Fort Lauderdale,Nassau,5,274
Minsk 2,Moscow,5,678
Moscow,Minsk 2,5,678
Moscow,Simferopol,5,1209
Simferopol,Moscow,5,1209
Melbourne,Kuala Lumpur,5,6349
Madrid,Rome,5,1314
London,Rome,5,1411
Kuala Lumpur,Melbourne,5,6349
Rome,Madrid,5,1314
Rome,Newark,5,6805
Newark,Rome,5,6805
Amsterdam,Dubai,5,5143
Zurich,Helsinki,5,1775
Tallinn-ulemiste International,Stockholm,5,384
Helsinki,Zurich,5,1775
Helsinki,Copenhagen,5,883
Helsinki,BarcelonaS,5,2648
Helsinki,Stockholm,5,392
Copenhagen,Helsinki,5,883
Stockholm,Tallinn-ulemiste International,5,384
BarcelonaS,Helsinki,5,2648
Stockholm,Helsinki,5,392
Guatemala City,San Salvador,5,236
Bahrain,Abu Dhabi,5,447
Abu Dhabi,Bahrain,5,447
San Francisco,Mexico City,5,3045
Mexico City,San Francisco,5,3045
Singapore,Kuching,5,658
Penang,Medan,5,228
Medan,Penang,5,228
Medan,Kuala Lumpur,5,348
Kuala Lumpur,Medan,5,348
Kuching,Singapore,5,658
Singapore,Seoul,5,4614
Osaka,Hong Kong,5,2440
Seoul,Singapore,5,4614
Hong Kong,Osaka,5,2440
Zurich,Paris,5,463
Moscow,Bishkek,5,2928
Papeete,Los Angeles,5,6647
Lusaka,Harare,5,420
Milan,London,5,970
London,Milan,5,970
Los Angeles,Papeete,5,6647
Khartoum,Addis Ababa,5,990
Kigali,Bujumbura,5,129
Tokyo,Paris,5,9654
Frankfurt,Detroit,5,6662
Frankfurt,Atlanta,5,7372
Edinburgh,Paris,5,928
Detroit,Frankfurt,5,6662
Copenhagen,Paris,5,1037
Paris,Zurich,5,463
Paris,Tokyo,5,9654
Paris,Copenhagen,5,1037
Bujumbura,Kigali,5,129
Atlanta,Frankfurt,5,7372
Amman,Damascus,5,165
Addis Ababa,Khartoum,5,990
Toronto,Washington,5,540
Toronto,Paris,5,5997
Vancouver,Seattle,5,184
Montreal,Orlando,5,2002
Montreal,Geneva,5,5871
Montreal,Fort Lauderdale,5,2250
Montreal,Washington,5,748
Montreal,Brussels,5,5513
Ottawa,London,5,5326
Ottawa,Washington,5,676
Seattle,Vancouver,5,184
Orlando,Montreal,5,2002
London,Ottawa,5,5326
Tehran,Yerevan,5,807
Geneva,Montreal,5,5871
Fort Lauderdale,Montreal,5,2250
Yerevan,Tehran,5,807
Washington,Toronto,5,540
Washington,Montreal,5,748
Washington,Ottawa,5,676
Paris,Toronto,5,5997
Brussels,Montreal,5,5513
Vienna,Zurich,5,599
Vienna,Munich,5,345
Vienna,London,5,1280
Vienna,Frankfurt,5,620
Berlin,Paris,5,856
Berlin,Copenhagen,5,345
Berlin,Stockholm,5,853
Istanbul,Munich,5,1540
Istanbul,Duesseldorf,5,2000
Paris,Berlin,5,856
Munich,Vienna,5,345
Munich,Helsinki,5,1573
Munich,Moscow,5,1939
Madrid,Geneva,5,980
Madrid,Frankfurt,5,1394
Madrid,Duesseldorf,5,1434
London,Vienna,5,1280
St. Petersburg,Duesseldorf,5,1732
Helsinki,Munich,5,1573
Helsinki,Frankfurt,5,1565
Frankfurt,Madrid,5,1394
Frankfurt,Helsinki,5,1565
Frankfurt,Moscow,5,2065
Duesseldorf,Istanbul,5,2000
Duesseldorf,Madrid,5,1434
Duesseldorf,St. Petersburg,5,1732
Duesseldorf,Moscow,5,2094
Moscow,Munich,5,1939
Moscow,Frankfurt,5,2065
Moscow,Duesseldorf,5,2094
Copenhagen,Berlin,5,345
Stockholm,Berlin,5,853
Calgary,Phoenix,5,1948
Calgary,Chicago,5,2145
Calgary,Los Angeles,5,1885
Montreal,Chicago,5,1188
Ottawa,Chicago,5,1040
Sydney,Honolulu,5,8180
San JoseC,New York,5,3521
Ho Chi Minh City,Hong Kong,5,1469
San Francisco,Puerto Vallarta,5,2500
SantiagoC,New York,5,8240
Puerto Vallarta,San Francisco,5,2500
Shanghai,Chicago,5,11241
Shanghai,Los Angeles,5,10351
Phoenix,Calgary,5,1948
Beijing,Chicago,5,10479
Chicago,Calgary,5,2145
Chicago,Montreal,5,1188
Chicago,Ottawa,5,1040
Chicago,Shanghai,5,11241
Chicago,Beijing,5,10479
Milano,New York,5,6387
Miami,Mexico City,5,2040
Miami,Guatemala City,5,1660
